,movie,rating
770,Office Space,R
771,The Boondock Saints,R
772,The Blair Witch Project,R
773,Austin Powers: The Spy Who Shagged Me,PG-13
774,Dogma,R
775,Big Daddy,PG-13
776,"South Park: Bigger, Longer & Uncut",R
777,Tarzan,G
778,The World Is Not Enough,PG-13
779,Cruel Intentions,R
780,The Talented Mr. Ripley,R
781,The Iron Giant,PG
782,The Ninth Gate,R
783,Three Kings,R
784,The Insider,R
785,"Girl, Interrupted",R
786,Wild Wild West,PG-13
787,The Bone Collector,R
788,Analyze This,R
789,Galaxy Quest,PG
790,The Virgin Suicides,R
791,Payback,R
792,Man on the Moon,R
793,8MM,R
794,Deep Blue Sea,R
795,Stuart Little,PG
796,The 13th Warrior,R
797,Any Given Sunday,R
798,Bicentennial Man,PG
799,Entrapment,PG-13
800,End of Days,R
801,The Cider House Rules,PG-13
802,Gladiator,R
803,Memento,R
804,Snatch,R
805,Requiem for a Dream,R
806,X-Men,PG-13
807,Cast Away,PG-13
808,American Psycho,R
809,Unbreakable,PG-13
810,Meet the Parents,PG-13
811,Mission: Impossible II,PG-13
812,"O Brother, Where Art Thou?",PG-13
813,Gone in Sixty Seconds,PG-13
814,"Crouching Tiger, Hidden Dragon",PG-13
815,The Patriot,R
816,Almost Famous,R
817,Pitch Black,R
818,Scary Movie,R
819,"Me, Myself & Irene",R
820,Final Destination,R
821,The Beach,R
822,Amores Perros,R
823,Traffic,R
824,Remember the Titans,PG
825,What Women Want,PG-13
826,How the Grinch Stole Christmas,PG
827,Chocolat,PG-13
828,Miss Congeniality,PG-13
829,Charlie's Angels,PG-13
830,Chicken Run,G
831,High Fidelity,R
832,Battle Royale,Not Rated
833,Erin Brockovich,R
834,The Emperor's New Groove,G
835,Road Trip,R
836,The Perfect Storm,PG-13
837,"Dude, Where's My Car?",PG-13
838,Hollow Man,R
839,Scream 3,R
840,Billy Elliot,R
841,Shanghai Noon,PG-13
842,The 6th Day,PG-13
843,What Lies Beneath,PG-13
844,Pay It Forward,PG-13
845,The Whole Nine Yards,R
846,In the Mood for Love,PG
847,Coyote Ugly,PG-13
848,Men of Honor,R
849,The Family Man,PG-13
850,Frequency,PG-13
851,The Lord of the Rings: The Fellowship of the Ring,PG-13
852,A Beautiful Mind,PG-13
853,"Monsters, Inc.",G
854,Donnie Darko,R
855,Amélie,R
856,Harry Potter and the Sorcerer's Stone,PG
857,Shrek,PG
858,Spirited Away,PG
859,Ocean's Eleven,PG-13
860,Training Day,R
861,Black Hawk Down,R
862,The Fast and the Furious,PG-13
863,The Others,PG-13
864,Pearl Harbor,PG-13
865,Mulholland Drive,R
866,The Mummy Returns,PG-13
867,A.I. Artificial Intelligence,PG-13
868,Jurassic Park III,PG-13
869,Moulin Rouge!,PG-13
870,The Royal Tenenbaums,R
871,Hannibal,R
872,Vanilla Sky,R
873,Zoolander,PG-13
874,American Pie 2,R
875,Blow,R
876,Enemy at the Gates,R
877,Bridget Jones's Diary,R
878,Planet of the Apes,PG-13
879,Lara Croft: Tomb Raider,PG-13
880,Rush Hour 2,PG-13
881,Swordfish,R
882,K-PAX,PG-13
883,Legally Blonde,PG-13
884,A Knight's Tale,PG-13
885,Jay and Silent Bob Strike Back,R
886,From Hell,R
887,Scary Movie 2,R
888,I Am Sam,PG-13
889,Spy Game,R
890,Shallow Hal,PG-13
891,The Princess Diaries,G
892,The Score,R
893,Evolution,PG-13
894,Ghost World,R
895,Y Tu Mamá También,R
896,The Lord of the Rings: The Two Towers,PG-13
897,Catch Me If You Can,PG-13
898,City of God,R
899,Spider-Man,PG-13
900,The Pianist,R
901,Star Wars: Episode II - Attack of the Clones,PG
902,Harry Potter and the Chamber of Secrets,PG
903,The Bourne Identity,PG-13
904,Minority Report,PG-13
905,Ice Age,PG
906,Gangs of New York,R
907,28 Days Later...,R
908,Signs,PG-13
909,Men in Black II,PG-13
910,The Ring,PG-13
911,Equilibrium,R
912,The Transporter,PG-13
913,Insomnia,R
914,Phone Booth,R
915,Panic Room,R
916,Red Dragon,R
917,Resident Evil,R
918,Road to Perdition,R
919,8 Mile,R
920,Chicago,PG-13
921,Die Another Day,PG-13
922,A Walk to Remember,PG
923,Blade II,R
924,Austin Powers in Goldmember,PG-13
925,Hero,PG-13
926,xXx,PG-13
927,Adaptation.,R
928,25th Hour,R
929,About a Boy,PG-13
930,Lilo & Stitch,PG
931,Bowling for Columbine,R
932,Punch-Drunk Love,R
933,Mr. Deeds,PG-13
934,The Scorpion King,PG-13
935,We Were Soldiers,R
936,Reign of Fire,PG-13
937,The Count of Monte Cristo,PG-13
938,About Schmidt,R
939,The Hours,PG-13
940,John Q,PG-13
941,My Big Fat Greek Wedding,PG
942,The Time Machine,PG-13
943,Infernal Affairs,R
944,The Lord of the Rings: The Return of the King,PG-13
945,Pirates of the Caribbean: The Curse of the Black Pearl,PG-13
946,Kill Bill: Vol. 1,R
947,Finding Nemo,G
948,The Matrix Reloaded,R
949,X-Men 2,PG-13
950,Oldboy,R
951,The Matrix Revolutions,R
952,Big Fish,PG-13
953,Mystic River,R
954,Love Actually,R
955,Lost in Translation,R
956,The Last Samurai,R
957,Terminator 3: Rise of the Machines,R
958,Bruce Almighty,PG-13
959,The Italian Job,PG-13
960,School of Rock,PG-13
961,Underworld,R
962,Hulk,PG-13
963,2 Fast 2 Furious,PG-13
964,21 Grams,R
965,Identity,R
966,Bad Boys II,R
967,Old School,R
968,Daredevil,PG-13
969,Anger Management,PG-13
970,Master and Commander: The Far Side of the World,PG-13
971,How to Lose a Guy in 10 Days,PG-13
972,American Wedding,R
973,Elf,PG
974,The League of Extraordinary Gentlemen,PG-13
975,Once Upon a Time in Mexico,R
976,Final Destination 2,R
977,Cold Mountain,R
978,S.W.A.T.,PG-13
979,Johnny English,PG
980,Good Bye Lenin!,R
981,Scary Movie 3,PG-13
982,Bad Santa,R
983,The Recruit,PG-13
984,Dogville,R
985,Monster,R
986,The Texas Chainsaw Massacre,R
987,Lara Croft Tomb Raider: The Cradle of Life,PG-13
988,Matchstick Men,PG-13
989,Freaky Friday,PG
990,Charlie's Angels: Full Throttle,PG-13
991,Eternal Sunshine of the Spotless Mind,R
992,Kill Bill: Vol. 2,R
993,The Incredibles,PG
994,Million Dollar Baby,PG-13
995,Spider-Man 2,PG-13
996,Harry Potter and the Prisoner of Azkaban,PG
997,The Notebook,PG-13
998,Shaun of the Dead,R
999,"I, Robot",PG-13
1000,Troy,R
1001,The Butterfly Effect,R
1002,The Bourne Supremacy,PG-13
1003,Crash,R
1004,The Day After Tomorrow,PG-13
1005,Shrek 2,PG
1006,The Terminal,PG-13
1007,Saw,R
1008,Collateral,R
1009,Ocean's Twelve,PG-13
1010,The Machinist,R
1011,Hotel Rwanda,PG-13
1012,Anchorman: The Legend of Ron Burgundy,PG-13
1013,The Aviator,PG-13
1014,Man on Fire,R
1015,50 First Dates,PG-13
1016,Downfall,R
1017,Mean Girls,PG-13
1018,National Treasure,PG
1019,Hellboy,PG-13
1020,Howl's Moving Castle,PG
1021,Meet the Fockers,PG-13
1022,Van Helsing,PG-13
1023,The Village,PG-13
1024,Dawn of the Dead,R
1025,Dodgeball: A True Underdog Story,PG-13
1026,The Chronicles of Riddick,PG-13
1027,Before Sunset,R
1028,Garden State,R
